ID,wav,semantics,transcript
4500,fine-tune/20170427-0900-PLENARY-6-en_20170427-08:50:04_17,[{'type': 'money'| 'filler': 'eur thirty seven billion'}| {'type': 'org'| 'filler': 'eib'}| {'type': 'date'| 'filler': 'two thousand and thirteen'}| {'type': 'cardinal'| 'filler': 'four million'}| {'type': 'cardinal'| 'filler': 'four'}],four four million jobs in smes which is where most young people find work and since its launch in two thousand and thirteen the eib's skills and jobs investing for youth' programme has provided more than eur thirty seven billion towards projects that support jobs and better skills for young people.
4501,fine-tune/20170427-0900-PLENARY-6-en_20170427-08:50:04_35,[],eligible projects rest on market failures or sub optimal investment situations.
4502,fine-tune/20170427-0900-PLENARY-6-en_20170427-08:50:04_45,[{'type': 'gpe'| 'filler': 'eu'}| {'type': 'ordinal'| 'filler': 'third'}| {'type': 'gpe'| 'filler': 'eu'}| {'type': 'cardinal'| 'filler': 'forty'}| {'type': 'cardinal'| 'filler': 'thirty'}| {'type': 'org'| 'filler': 'eu bank'}],its guarantee fund and portfolio structure allow the eu bank to support investment of around thirty to forty times the eu budget demand provisions for the guarantee thereby delivering concrete results and impact in third countries at minimal cost to the eu budget.
4503,fine-tune/20170427-0900-PLENARY-6-en_20170427-08:50:04_13,[{'type': 'loc'| 'filler': 'europe'}| {'type': 'org'| 'filler': 'eib'}| {'type': 'norp'| 'filler': 'european'}| {'type': 'cardinal'| 'filler': 'one'}],to give you one concrete example once adopted the omnibus will facilitate the essential combination of efsi with european structural and investment funds which might simultaneously improve the absorption of esi funds and bring more efsi financing to some countries. as highlighted in the reports the eib's activities have contributed to sustainable growth and employment in europe and to stability in our neighbourhood.
4504,fine-tune/20170427-0900-PLENARY-6-en_20170427-08:50:04_31,[{'type': 'org'| 'filler': 'eib'}],let me emphasise that in quantitative terms efsi is not business as usual for the eib.
4505,fine-tune/20170427-0900-PLENARY-6-en_20170427-08:50:04_41,[{'type': 'gpe'| 'filler': 'eu'}| {'type': 'gpe'| 'filler': 'union'}| {'type': 'money'| 'filler': 'eur eight billion'}| {'type': 'date'| 'filler': 'two thousand and fifteen'}| {'type': 'org'| 'filler': 'eib'}| {'type': 'money'| 'filler': 'eur eighty four billion'}],on the contrary out of the eur eighty four billion of eib group financing in two thousand and fifteen over eur eight billion went outside the union directly contributing to the implementation of eu policies and standards.
4506,fine-tune/20170427-0900-PLENARY-6-en_20170427-08:50:04_63,[],thank you very much and i am looking forward to the debate.
4507,fine-tune/20170427-0900-PLENARY-6-en_20170427-08:50:04_47,[{'type': 'gpe'| 'filler': 'european union'}],also looking to the future we should establish a clear complementarity and harmonisation of the different instruments that the european union employs externally namely the external investment plan the commissioner just mentioned;
4508,fine-tune/20170427-0900-PLENARY-6-en_20170427-08:50:04_24,[],smes and as such in the real economy.
4509,fine-tune/20170427-0900-PLENARY-6-en_20170427-08:50:04_54,[],we are continuously in contact with other international financial institutions ngos and relevant authorities to ensure that we apply best banking practice.
