ID,wav,semantics,transcript
0,fine-tune/20131007-0900-PLENARY-19-en_20131007-21:26:04_7,[{'type': 'law'| 'filler': 'article twenty one'}],this could be done by looking more specifically into the suggested fallback clause in article twenty one in cases brought by the employee against the employer defining as relevant the place of business from which the employee receives or received day to day instructions
1,fine-tune/20131007-0900-PLENARY-19-en_20131007-21:26:04_3,[{'type': 'loc'| 'filler': 'europe'}| {'type': 'loc'| 'filler': 'europe'}| {'type': 'law'| 'filler': 'brussels i regulation'}| {'type': 'date'| 'filler': 'two thousand and twelve'}],two thousand and twelve for instance the new brussels i regulation provides for the right for employees to sue several employers together and the right for employees to have access to courts in europe even if the employer is domiciled outside europe. the commission will
2,fine-tune/20110705-0900-PLENARY-5-en_20110705-12:06:20_2,[],i ask you therefore to enforce the standing order and refer these reports back to committee so that they do not take up our time when they should be sorted out in committee.
3,fine-tune/20110705-0900-PLENARY-5-en_20110705-12:06:20_0,[{'type': 'cardinal'| 'filler': 'fifty'}| {'type': 'org'| 'filler': 'conference of presidents'}],mr president i understood that it was a decision of the conference of presidents that any report that had more than fifty amendments had to be referred back to the committee to be resolved.
4,fine-tune/20110705-0900-PLENARY-5-en_20110705-12:06:20_1,[{'type': 'cardinal'| 'filler': 'fifty'}| {'type': 'person'| 'filler': 'pieper'}| {'type': 'person'| 'filler': 'eickhout'}| {'type': 'person'| 'filler': 'lepage'}| {'type': 'person'| 'filler': 'langen'}| {'type': 'date'| 'filler': 'today'}| {'type': 'cardinal'| 'filler': 'four'}],we have four reports in front of us today the langen lepage eickhout and pieper reports all of which have more than fifty amendments.
5,fine-tune/20110705-0900-PLENARY-5-en_20110705-12:13:39_0,[{'type': 'cardinal'| 'filler': 'two'}],mr president i would just like to thank all the political groups and particularly the leaders of the political groups for a very smooth arrangement that allowed us to fill these two vacant places.
6,fine-tune/20170313-0900-PLENARY-14-en_20170313-21:48:27_5,[],the directive requires that farmers take all responsible steps to ensure that animals under their care are not caused unnecessary pain suffering or injury.
7,fine-tune/20170313-0900-PLENARY-14-en_20170313-21:48:27_3,[{'type': 'law'| 'filler': 'directive ninety eight'}],the report also invites the commission to use scientific evidence as the basis for proposing new measures for housing requirements for breeding does and for rabbits reared for meat production. i would remind the honourable members that all farmed animal species including rabbits are protected by the rules of directive ninety eight
8,fine-tune/20170313-0900-PLENARY-14-en_20170313-21:48:27_13,[],this priority is particularly relevant because we continue to see a widespread lack of compliance regarding animal welfare rules across many member states.
9,fine-tune/20170313-0900-PLENARY-14-en_20170313-21:48:27_7,[],this opinion provides member states and farmers with data on aspects of farming systems which may put the welfare of the rabbits at risk.
10,fine-tune/20170313-0900-PLENARY-14-en_20170313-21:48:27_11,[{'type': 'gpe'| 'filler': 'eu'}],as honourable members will know member states are primarily responsible for the implementation of eu legislation.
11,fine-tune/20170313-0900-PLENARY-14-en_20170313-21:48:27_9,[{'type': 'gpe'| 'filler': 'france'}| {'type': 'gpe'| 'filler': 'spain'}| {'type': 'gpe'| 'filler': 'italy'}| {'type': 'gpe'| 'filler': 'eu'}],rabbit production in the eu is essentially concentrated in a few member states mainly italy spain and france.
12,fine-tune/20170313-0900-PLENARY-14-en_20170313-21:48:27_8,[],the rules of the directive should be seen in conjunction with this opinion.
13,fine-tune/20170313-0900-PLENARY-14-en_20170313-21:48:27_6,[{'type': 'org'| 'filler': 'european food safety authority'}| {'type': 'date'| 'filler': 'two thousand and five'}],in addition in two thousand and five the european food safety authority published an opinion on the impact of the current housing and husbandry systems on the health and welfare of farmed domestic rabbits.
14,fine-tune/20170313-0900-PLENARY-14-en_20170313-21:48:27_10,[],against this background and in line with the principles of subsidiarity and proportionality the commission takes the view that the member states involved are better placed to address the relevant issues concerning rabbit production.
15,fine-tune/20170313-0900-PLENARY-14-en_20170313-21:48:27_4,[{'type': 'cardinal'| 'filler': 'fifty eight'}],fifty eight concerning the protection of animals kept for farming purposes.
16,fine-tune/20170313-0900-PLENARY-14-en_20170313-21:48:27_14,[],in consideration of this analysis and given its limited resources the commission does not consider it appropriate to propose an initiative on the welfare of farm rabbits.
17,fine-tune/20170313-0900-PLENARY-14-en_20170313-21:48:27_2,[],the report encourages the commission to take a number of non legislative actions such as drawing up a roadmap to include guidelines on good practices and a commission recommendation relating to rabbit health welfare and housing.
18,fine-tune/20170313-0900-PLENARY-14-en_20170313-21:48:27_12,[{'type': 'cardinal'| 'filler': 'one'}| {'type': 'gpe'| 'filler': 'eu'}],better enforcement of the eu animal welfare legislation is one of the key priorities for animal welfare and the commission has invested substantial resources in pursuit of this aim.
19,fine-tune/20130909-0900-PLENARY-17-en_20130909-20:54:22_6,[{'type': 'gpe'| 'filler': 'eu'}],therefore i strongly support the report's focus on the need to ensure implementation of existing eu legislation in the member states.
20,fine-tune/20130909-0900-PLENARY-17-en_20130909-20:54:22_4,[{'type': 'loc'| 'filler': 'europe'}],this stimulates growth and job creation in europe and increases our energy security.
21,fine-tune/20130909-0900-PLENARY-17-en_20130909-20:54:22_5,[{'type': 'cardinal'| 'filler': 'one'}| {'type': 'gpe'| 'filler': 'eu'}],furthermore an internal market for energy is an important part of the path towards more sustainable energy production. that is quite obvious to us all but we should also recognise that there is a long way to go before we can realise our vision for an internal market for energy in the eu. one reason for this is that legislation concerning the creation of the market is delayed in many member states.
22,fine-tune/20130909-0900-PLENARY-17-en_20130909-20:54:22_7,[{'type': 'gpe'| 'filler': 'eu'}| {'type': 'ordinal'| 'filler': 'third'}| {'type': 'loc'| 'filler': 'europe'}| {'type': 'org'| 'filler': 'european parliament'}],today the european parliament is sending out a strong and unmistakable message to the governments in europe that they must live up to their commitments in the third energy package and we are also highlighting the importance of a more coordinated approach at eu level towards national capacity mechanisms. national capacity mechanisms can be necessary in some circumstances but much too often they are counterproductive as regards the aim of creating cross border markets. i therefore strongly support the call to the commission to ensure a stronger and more coordinated approach capable of guaranteeing that capacity mechanisms will be transparent
23,fine-tune/20130909-0900-PLENARY-17-en_20130909-21:23:58_11,[{'type': 'date'| 'filler': 'next year'}| {'type': 'norp'| 'filler': 'european'}],before the european elections next year we can implement much of the legislation mentioned in my report.
24,fine-tune/20100907-0900-PLENARY-5-en_20100907-12:55:03_4,[{'type': 'ordinal'| 'filler': 'first'}],the commission will take its stand express itself and make commitments if necessary at the time of the first reading vote.
25,fine-tune/20100705-0900-PLENARY-18-en_20100705-22:38:51_12,[{'type': 'date'| 'filler': 'two thousand and fourteen'}| {'type': 'law'| 'filler': 'waste framework directive'}],and analysing the possibility of introducing targets for separate collection or recycling of bio waste within the review of the recycling targets of the waste framework directive by two thousand and fourteen at the latest.
26,fine-tune/20100705-0900-PLENARY-18-en_20100705-22:38:51_10,[{'type': 'law'| 'filler': 'waste framework directive'}],therefore the commission plans to initiate a number of actions aimed at improving bio waste management including setting criteria for the production of high quality compost using the end of waste' procedure envisaged in the waste framework directive;
27,fine-tune/20100705-0900-PLENARY-18-en_20100705-22:38:51_6,[],however as optimal bio waste policies may differ from country to country or even between regions further analysis on the grounds of subsidiarity is necessary.
28,fine-tune/20100705-0900-PLENARY-18-en_20100705-22:38:51_2,[{'type': 'gpe'| 'filler': 'eu'}| {'type': 'gpe'| 'filler': 'european union'}| {'type': 'date'| 'filler': 'eighteen may'}],as you know on eighteen may the commission adopted the communication on future steps in bio waste management in the european union. this communication is accompanied by an annex with a detailed technical analysis of the measures that could be taken to improve the management of bio waste in the eu as a whole and in each member state
29,fine-tune/20100705-0900-PLENARY-18-en_20100705-22:38:51_11,[{'type': 'law'| 'filler': 'sewage sludge directive'}],analysing the viability of setting minimum standards for the use of bio waste in agriculture within the revision of the sewage sludge directive;
30,fine-tune/20100705-0900-PLENARY-18-en_20100705-22:35:56_2,[{'type': 'cardinal'| 'filler': 'one'}],so it is with great regret that i have to say that i do have an argument with one part of it.
31,fine-tune/20100705-0900-PLENARY-18-en_20100705-22:35:56_3,[{'type': 'loc'| 'filler': 'europe'}],the rapporteur lost my support on the point where he talks about a mandatory that means compulsory separate collection regime across europe.
32,fine-tune/20100705-0900-PLENARY-18-en_20100705-22:35:56_4,[],i object to this in principle on the grounds of subsidiarity and i object most particularly on the grounds that it seeks to lock in a method that in many places is being superseded by high tech autoclave and other technology.
33,fine-tune/20100705-0900-PLENARY-18-en_20100705-22:35:56_5,[{'type': 'gpe'| 'filler': 'eu'}],in other words it is becoming outmoded before we have even set it up and this really puts eu regulation in its worst possible light.
