ID,wav,semantics,transcript
2250,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:48:31_13,[{'type': 'loc'| 'filler': 'euro area'}| {'type': 'ordinal'| 'filler': 'second'}| {'type': 'cardinal'| 'filler': 'fifty six'}| {'type': 'gpe'| 'filler': 'france'}| {'type': 'norp'| 'filler': 'socialist'}],if we compare that to socialist france public spending there is now equivalent to fifty six of national income the second highest in the euro area.
2251,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:48:31_19,[{'type': 'gpe'| 'filler': 'eu'}],for those of us who want to see state spending controlled the worst possible thing you could do is to give the eu new powers to raise its own revenue through new own resources.
2252,fine-tune/20140225-0900-PLENARY-3-en_20140225-09:48:31_20,[{'type': 'org'| 'filler': 'high level group'}| {'type': 'person'| 'filler': 'mrmonti'}| {'type': 'person'| 'filler': 'samaras'}| {'type': 'person'| 'filler': 'mrbarroso'}| {'type': 'person'| 'filler': 'mrschulz'}| {'type': 'date'| 'filler': 'this afternoon'}],i understand that this afternoon mrschulz and mrbarroso will join with prime minister samaras and mrmonti to launch the new high level group on own resources.
2253,fine-tune/20140225-0900-PLENARY-3-en_20140225-11:34:48_13,[{'type': 'norp'| 'filler': 'european'}],the european semester has been instrumental in driving the necessary structural reforms in the member states and raising these reform goals to the political agenda.
2254,fine-tune/20140225-0900-PLENARY-3-en_20140225-11:34:48_20,[],therefore we cannot be complacent.
2255,fine-tune/20140225-0900-PLENARY-3-en_20140225-11:34:48_4,[{'type': 'gpe'| 'filler': 'greece'}],i very much appreciate and commend the efforts of greece to restore economic growth and job creation under very difficult circumstances and following decades of economic and policy mismanagement. i have to say that i find
2256,fine-tune/20140225-0900-PLENARY-3-en_20140225-11:34:48_29,[{'type': 'norp'| 'filler': 'europeans'}],and by investing in sustainable green growth and turning innovations in that field into competitive products and services that is into new businesses and new jobs for europeans;
2257,fine-tune/20140225-0900-PLENARY-3-en_20140225-11:55:37_4,[{'type': 'person'| 'filler': 'mrgutirrez prieto'}],my report and the report by mrgutirrez prieto start this process and provide a clear path forward a combination of more democratic accountability a combination of solidarity with conditionality and clear responsibilities and also more room for private investment to boost investment and to improve entrepreneurship and create jobs and growth. these reforms are not of course always pleasant but it is also our job as politicians to have the courage to defend the road taken and the benefits it will bring in the long
2258,fine-tune/20140225-0900-PLENARY-3-en_20140225-11:55:37_3,[{'type': 'org'| 'filler': 'parliament'}| {'type': 'org'| 'filler': 'european parliament'}],i think that we as the european parliament should take up our role in this process much more maybe than we do today. we have of course after the very difficult economic situation taken a road ahead also supported by this parliament a road of reducing deficits and balancing budgets; a road of implementing economic reform; a road of modernising social protection; but also a road of investing in education research and development. we cannot go back and restore the mistakes which were made at the start and the onset of the creation of the euro. but i do feel that we must do our utmost and maybe it is the task of our generation to make sure that we correct the mistakes and take a clear path forward.
2259,fine-tune/20140225-0900-PLENARY-3-en_20140225-10:25:00_7,[{'type': 'date'| 'filler': 'last few years'}| {'type': 'norp'| 'filler': 'european'}],at the european level we have seen a coalition of civil society organisations working very hard over the last few years to gain a meaningful role and with some success. but we need to see this embedded structurally into this whole process at national level
2260,fine-tune/20140225-0900-PLENARY-3-en_20140225-10:25:00_5,[],i would really like to ask their representatives here whether they are going to take action on the issue and start negotiating such an agreement or not?
2261,fine-tune/20140225-0900-PLENARY-3-en_20140225-10:25:00_6,[],it is also clear that if we want the eu two thousand and twenty process the semester to have democratic legitimacy we need to involve civil society and social partners much more strongly.
