ID,duration,wav,semantics,transcript
45565,8.254875,slurp_real/audio-1497439579.flac,{'scenario': 'email'| 'action': 'sendemail'| 'entities': [{'type': 'person'| 'filler': 'rae'}]},send an email to rae telling her my phone is back in service
45566,2.943625,slurp_real/audio-1488989969.flac,{'scenario': 'transport'| 'action': 'traffic'| 'entities': []},traffic status please
45567,1.728,slurp_real/audio-1495377342-headset.flac,{'scenario': 'transport'| 'action': 'traffic'| 'entities': []},traffic status please
45568,1.79175,slurp_real/audio-1495377342.flac,{'scenario': 'transport'| 'action': 'traffic'| 'entities': []},traffic status please
45569,1.79175,slurp_real/audio-1489152497.flac,{'scenario': 'lists'| 'action': 'query'| 'entities': []},buying clothes
45570,1.152,slurp_real/audio-1495370076-headset.flac,{'scenario': 'lists'| 'action': 'query'| 'entities': []},buying clothes
45571,1.215875,slurp_real/audio-1495370076.flac,{'scenario': 'lists'| 'action': 'query'| 'entities': []},buying clothes
45572,1.984,slurp_real/audio-1501765450-headset.flac,{'scenario': 'cooking'| 'action': 'recipe'| 'entities': [{'type': 'food_type'| 'filler': 'spaghetti'}]},recipe for spaghetti
45573,1.91975,slurp_real/audio-1501765450.flac,{'scenario': 'cooking'| 'action': 'recipe'| 'entities': [{'type': 'food_type'| 'filler': 'spaghetti'}]},recipe for spaghetti
45574,2.624,slurp_real/audio-1501765508-headset.flac,{'scenario': 'cooking'| 'action': 'recipe'| 'entities': [{'type': 'food_type'| 'filler': 'spaghetti'}]},recipe for spaghetti
45575,2.5596875,slurp_real/audio-1501765508.flac,{'scenario': 'cooking'| 'action': 'recipe'| 'entities': [{'type': 'food_type'| 'filler': 'spaghetti'}]},recipe for spaghetti
45576,1.6,slurp_real/audio-1490371766-headset.flac,{'scenario': 'cooking'| 'action': 'recipe'| 'entities': [{'type': 'food_type'| 'filler': 'spaghetti'}]},recipe for spaghetti
45577,1.6638125,slurp_real/audio-1490371766.flac,{'scenario': 'cooking'| 'action': 'recipe'| 'entities': [{'type': 'food_type'| 'filler': 'spaghetti'}]},recipe for spaghetti
45578,2.24,slurp_real/audio-1434534435-headset.flac,{'scenario': 'cooking'| 'action': 'recipe'| 'entities': [{'type': 'food_type'| 'filler': 'spaghetti'}]},recipe for spaghetti
45579,2.3036875,slurp_real/audio-1434534435.flac,{'scenario': 'cooking'| 'action': 'recipe'| 'entities': [{'type': 'food_type'| 'filler': 'spaghetti'}]},recipe for spaghetti
45580,1.92,slurp_real/audio-1498567273-headset.flac,{'scenario': 'qa'| 'action': 'stock'| 'entities': []},open stocks
45581,2.04775,slurp_real/audio-1498567273.flac,{'scenario': 'qa'| 'action': 'stock'| 'entities': []},open stocks
45582,3.264,slurp_real/audio-1498569883-headset.flac,{'scenario': 'qa'| 'action': 'definition'| 'entities': [{'type': 'definition_word'| 'filler': 'the sports stadium'}]},tell me about the sports stadium
45583,3.3915625,slurp_real/audio-1498569883.flac,{'scenario': 'qa'| 'action': 'definition'| 'entities': [{'type': 'definition_word'| 'filler': 'the sports stadium'}]},tell me about the sports stadium
45584,2.687625,slurp_real/audio-1498576038.flac,{'scenario': 'weather'| 'action': 'query'| 'entities': [{'type': 'weather_descriptor'| 'filler': 'outwards'}]},how is the day outwards
45585,5.824,slurp_real/audio-1490183390-headset.flac,{'scenario': 'general'| 'action': 'quirky'| 'entities': []},olly i watched the best movie please reserve me a copy when it releases
45586,5.8231875,slurp_real/audio-1490183390.flac,{'scenario': 'general'| 'action': 'quirky'| 'entities': []},olly i watched the best movie please reserve me a copy when it releases
45587,6.784,slurp_real/audio-1502198923-headset.flac,{'scenario': 'email'| 'action': 'sendemail'| 'entities': []},go to my gmail and click on compose when finished i will tell you what i want to write in the email
45588,6.7830625,slurp_real/audio-1502198923.flac,{'scenario': 'email'| 'action': 'sendemail'| 'entities': []},go to my gmail and click on compose when finished i will tell you what i want to write in the email
45589,0.96,slurp_real/audio-1501758048-headset.flac,{'scenario': 'general'| 'action': 'quirky'| 'entities': []},can you feel
45590,1.28,slurp_real/audio-1434536256-headset.flac,{'scenario': 'general'| 'action': 'quirky'| 'entities': []},can you feel
45591,1.279875,slurp_real/audio-1434536256.flac,{'scenario': 'general'| 'action': 'quirky'| 'entities': []},can you feel
45592,1.472,slurp_real/audio-1502200662-headset.flac,{'scenario': 'general'| 'action': 'quirky'| 'entities': []},life goals
45593,1.5358125,slurp_real/audio-1502200662.flac,{'scenario': 'general'| 'action': 'quirky'| 'entities': []},life goals
45594,1.408,slurp_real/audio-1434529355-headset.flac,{'scenario': 'general'| 'action': 'quirky'| 'entities': []},life goals
45595,4.735375,slurp_real/audio--1506521144.flac,{'scenario': 'play'| 'action': 'audiobook'| 'entities': [{'type': 'player_setting'| 'filler': 'start'}| {'type': 'audiobook_name'| 'filler': 'a tale of two cities'}]},start the audiobook file for where i left off in a tale of two cities
45596,9.28,slurp_real/audio-1500898623-headset.flac,{'scenario': 'play'| 'action': 'audiobook'| 'entities': [{'type': 'player_setting'| 'filler': 'start'}| {'type': 'audiobook_name'| 'filler': 'a tale of two cities'}]},start the audiobook file for where i left off in a tale of two cities
45597,9.21475,slurp_real/audio-1500898623.flac,{'scenario': 'play'| 'action': 'audiobook'| 'entities': [{'type': 'player_setting'| 'filler': 'start'}| {'type': 'audiobook_name'| 'filler': 'a tale of two cities'}]},start the audiobook file for where i left off in a tale of two cities
45598,5.184,slurp_real/audio-1499693729-headset.flac,{'scenario': 'play'| 'action': 'audiobook'| 'entities': [{'type': 'player_setting'| 'filler': 'start'}| {'type': 'audiobook_name'| 'filler': 'a tale of two cities'}]},start the audiobook file for where i left off in a tale of two cities
45599,5.1193125,slurp_real/audio-1499693729.flac,{'scenario': 'play'| 'action': 'audiobook'| 'entities': [{'type': 'player_setting'| 'filler': 'start'}| {'type': 'audiobook_name'| 'filler': 'a tale of two cities'}]},start the audiobook file for where i left off in a tale of two cities
45600,2.816,slurp_real/audio-1502218160-headset.flac,"{'scenario': 'takeaway'| 'action': 'query'| 'entities': [{'type': 'business_name'| 'filler': ""arby's""}| {'type': 'order_type'| 'filler': 'takeaway'}]}",does arby's do takeaway
45601,2.3036875,slurp_real/audio-1502218160.flac,"{'scenario': 'takeaway'| 'action': 'query'| 'entities': [{'type': 'business_name'| 'filler': ""arby's""}| {'type': 'order_type'| 'filler': 'takeaway'}]}",does arby's do takeaway
45602,4.736,slurp_real/audio-1498571480-headset.flac,"{'scenario': 'play'| 'action': 'music'| 'entities': [{'type': 'artist_name'| 'filler': ""crystal lewis's""}| {'type': 'song_name'| 'filler': 'beauty of the cross'}]}",play crystal lewis's beauty of the cross for me
45603,4.735375,slurp_real/audio-1498571480.flac,"{'scenario': 'play'| 'action': 'music'| 'entities': [{'type': 'artist_name'| 'filler': ""crystal lewis's""}| {'type': 'song_name'| 'filler': 'beauty of the cross'}]}",play crystal lewis's beauty of the cross for me
45604,2.944,slurp_real/audio-1494608691-headset.flac,"{'scenario': 'play'| 'action': 'music'| 'entities': [{'type': 'artist_name'| 'filler': ""crystal lewis's""}| {'type': 'song_name'| 'filler': 'beauty of the cross'}]}",play crystal lewis's beauty of the cross for me
45605,2.943625,slurp_real/audio-1494608691.flac,"{'scenario': 'play'| 'action': 'music'| 'entities': [{'type': 'artist_name'| 'filler': ""crystal lewis's""}| {'type': 'song_name'| 'filler': 'beauty of the cross'}]}",play crystal lewis's beauty of the cross for me
45606,2.112,slurp_real/audio-1498565654-headset.flac,{'scenario': 'audio'| 'action': 'volume_up'| 'entities': []},turn up volume of music
45607,2.2396875,slurp_real/audio-1498565654.flac,{'scenario': 'audio'| 'action': 'volume_up'| 'entities': []},turn up volume of music
45608,2.688,slurp_real/audio-1490705238-headset.flac,{'scenario': 'audio'| 'action': 'volume_up'| 'entities': []},turn up volume of music
45609,2.687625,slurp_real/audio-1490705238.flac,{'scenario': 'audio'| 'action': 'volume_up'| 'entities': []},turn up volume of music
45610,3.072,slurp_real/audio-1498485983-headset.flac,{'scenario': 'iot'| 'action': 'cleaning'| 'entities': [{'type': 'device_type'| 'filler': 'vacuum cleaner'}]},remove dust with vacuum cleaner
45611,3.071625,slurp_real/audio-1498485983.flac,{'scenario': 'iot'| 'action': 'cleaning'| 'entities': [{'type': 'device_type'| 'filler': 'vacuum cleaner'}]},remove dust with vacuum cleaner
45612,1.408,slurp_real/audio-1490704144-headset.flac,{'scenario': 'weather'| 'action': 'query'| 'entities': []},global warming
45613,1.5358125,slurp_real/audio-1490704144.flac,{'scenario': 'weather'| 'action': 'query'| 'entities': []},global warming
45614,0.704,slurp_real/audio-1498572204-headset.flac,{'scenario': 'weather'| 'action': 'query'| 'entities': []},global warming
45615,0.7679375,slurp_real/audio-1498572204.flac,{'scenario': 'weather'| 'action': 'query'| 'entities': []},global warming
45616,2.624,slurp_real/audio-1501698440-headset.flac,{'scenario': 'cooking'| 'action': 'recipe'| 'entities': [{'type': 'food_type'| 'filler': 'burger'}]},what do i need for a good burger
45617,2.995375,slurp_real/audio-1501698440.flac,{'scenario': 'cooking'| 'action': 'recipe'| 'entities': [{'type': 'food_type'| 'filler': 'burger'}]},what do i need for a good burger
45618,2.687625,slurp_real/audio-1488991325.flac,{'scenario': 'play'| 'action': 'radio'| 'entities': []},play music radio for me
45619,2.94,slurp_real/audio-1488561390.flac,{'scenario': 'play'| 'action': 'radio'| 'entities': []},play music radio for me
45620,2.04775,slurp_real/audio-1499697837.flac,{'scenario': 'lists'| 'action': 'createoradd'| 'entities': [{'type': 'list_name'| 'filler': 'to do'}]},put wash the car to my to do list
45621,2.943625,slurp_real/audio-1497360389.flac,{'scenario': 'calendar'| 'action': 'query'| 'entities': [{'type': 'event_name'| 'filler': 'payday'}]},what day is payday
45622,5.44,slurp_real/audio-1498483736-headset.flac,{'scenario': 'play'| 'action': 'podcasts'| 'entities': [{'type': 'podcast_descriptor'| 'filler': 'next episode'}| {'type': 'podcast_name'| 'filler': 'radiolab'}]},play the next episode of radiolab
45623,5.50325,slurp_real/audio-1498483736.flac,{'scenario': 'play'| 'action': 'podcasts'| 'entities': [{'type': 'podcast_descriptor'| 'filler': 'next episode'}| {'type': 'podcast_name'| 'filler': 'radiolab'}]},play the next episode of radiolab
45624,2.88,slurp_real/audio-1502216306-headset.flac,{'scenario': 'play'| 'action': 'podcasts'| 'entities': [{'type': 'podcast_descriptor'| 'filler': 'next episode'}| {'type': 'podcast_name'| 'filler': 'radiolab'}]},play the next episode of radiolab
45625,2.815625,slurp_real/audio-1502216306.flac,{'scenario': 'play'| 'action': 'podcasts'| 'entities': [{'type': 'podcast_descriptor'| 'filler': 'next episode'}| {'type': 'podcast_name'| 'filler': 'radiolab'}]},play the next episode of radiolab
45626,2.624,slurp_real/audio-1502216413-headset.flac,{'scenario': 'play'| 'action': 'podcasts'| 'entities': [{'type': 'podcast_descriptor'| 'filler': 'next episode'}| {'type': 'podcast_name'| 'filler': 'radiolab'}]},play the next episode of radiolab
45627,2.5596875,slurp_real/audio-1502216413.flac,{'scenario': 'play'| 'action': 'podcasts'| 'entities': [{'type': 'podcast_descriptor'| 'filler': 'next episode'}| {'type': 'podcast_name'| 'filler': 'radiolab'}]},play the next episode of radiolab
45628,2.88,slurp_real/audio-1490183489-headset.flac,{'scenario': 'play'| 'action': 'music'| 'entities': [{'type': 'song_name'| 'filler': 'play that funky music'}]},i want to hear play that funky music
45629,2.943625,slurp_real/audio-1490183489.flac,{'scenario': 'play'| 'action': 'music'| 'entities': [{'type': 'song_name'| 'filler': 'play that funky music'}]},i want to hear play that funky music
45630,3.136,slurp_real/audio-1501766390-headset.flac,{'scenario': 'play'| 'action': 'music'| 'entities': [{'type': 'song_name'| 'filler': 'play that funky music'}]},i want to hear play that funky music
45631,3.1355625,slurp_real/audio-1501766390.flac,{'scenario': 'play'| 'action': 'music'| 'entities': [{'type': 'song_name'| 'filler': 'play that funky music'}]},i want to hear play that funky music
45632,3.6475,slurp_real/audio-1488994062.flac,{'scenario': 'transport'| 'action': 'query'| 'entities': [{'type': 'transport_type'| 'filler': 'train'}]},when does the next train to work leave
45633,2.624,slurp_real/audio-1490371959-headset.flac,{'scenario': 'transport'| 'action': 'query'| 'entities': [{'type': 'transport_type'| 'filler': 'train'}]},when does the next train to work leave
45634,2.6236875,slurp_real/audio-1490371959.flac,{'scenario': 'transport'| 'action': 'query'| 'entities': [{'type': 'transport_type'| 'filler': 'train'}]},when does the next train to work leave
45635,2.624,slurp_real/audio-1490108226-headset.flac,{'scenario': 'transport'| 'action': 'query'| 'entities': [{'type': 'transport_type'| 'filler': 'train'}]},when does the next train to work leave
45636,2.687625,slurp_real/audio-1490108226.flac,{'scenario': 'transport'| 'action': 'query'| 'entities': [{'type': 'transport_type'| 'filler': 'train'}]},when does the next train to work leave
45637,2.688,slurp_real/audio-1501156091-headset.flac,{'scenario': 'transport'| 'action': 'query'| 'entities': [{'type': 'transport_type'| 'filler': 'train'}]},when does the next train to work leave
45638,3.13475,slurp_real/audio-1501156091.flac,{'scenario': 'transport'| 'action': 'query'| 'entities': [{'type': 'transport_type'| 'filler': 'train'}]},when does the next train to work leave
45639,2.304,slurp_real/audio-1501768543-headset.flac,{'scenario': 'play'| 'action': 'radio'| 'entities': []},set frequency of the radio
45640,2.3036875,slurp_real/audio-1501768543.flac,{'scenario': 'play'| 'action': 'radio'| 'entities': []},set frequency of the radio
45641,1.984,slurp_real/audio-1501156303-headset.flac,{'scenario': 'play'| 'action': 'radio'| 'entities': []},set frequency of the radio
45642,2.3684375,slurp_real/audio-1501156303.flac,{'scenario': 'play'| 'action': 'radio'| 'entities': []},set frequency of the radio
45643,2.56,slurp_real/audio-1498570778-headset.flac,{'scenario': 'transport'| 'action': 'query'| 'entities': [{'type': 'place_name'| 'filler': 'old street'}]},how do i get to old street
45644,2.687625,slurp_real/audio-1498570778.flac,{'scenario': 'transport'| 'action': 'query'| 'entities': [{'type': 'place_name'| 'filler': 'old street'}]},how do i get to old street
45645,2.176,slurp_real/audio-1498483298-headset.flac,{'scenario': 'transport'| 'action': 'query'| 'entities': [{'type': 'place_name'| 'filler': 'old street'}]},how do i get to old street
45646,2.17575,slurp_real/audio-1498483298.flac,{'scenario': 'transport'| 'action': 'query'| 'entities': [{'type': 'place_name'| 'filler': 'old street'}]},how do i get to old street
45647,3.776,slurp_real/audio--1506078427-headset.flac,{'scenario': 'transport'| 'action': 'query'| 'entities': [{'type': 'transport_type'| 'filler': 'train'}| {'type': 'place_name'| 'filler': 'california'}| {'type': 'place_name'| 'filler': 'chicago'}]},tell me the train ticket price of california to chicago
45648,3.8395,slurp_real/audio--1506078427.flac,{'scenario': 'transport'| 'action': 'query'| 'entities': [{'type': 'transport_type'| 'filler': 'train'}| {'type': 'place_name'| 'filler': 'california'}| {'type': 'place_name'| 'filler': 'chicago'}]},tell me the train ticket price of california to chicago
45649,2.176,slurp_real/audio-1490800240-headset.flac,{'scenario': 'iot'| 'action': 'wemo_off'| 'entities': [{'type': 'device_type'| 'filler': 'wemo plug'}]},switch off the wemo plug
45650,2.624,slurp_real/audio-1497866146-headset.flac,{'scenario': 'iot'| 'action': 'wemo_off'| 'entities': [{'type': 'device_type'| 'filler': 'wemo plug'}]},switch off the wemo plug
45651,2.687625,slurp_real/audio-1497866146.flac,{'scenario': 'iot'| 'action': 'wemo_off'| 'entities': [{'type': 'device_type'| 'filler': 'wemo plug'}]},switch off the wemo plug
45652,2.688,slurp_real/audio-1502101850-headset.flac,{'scenario': 'iot'| 'action': 'wemo_off'| 'entities': [{'type': 'device_type'| 'filler': 'wemo plug'}]},switch off the wemo plug
45653,3.0650625,slurp_real/audio-1502101850.flac,{'scenario': 'iot'| 'action': 'wemo_off'| 'entities': [{'type': 'device_type'| 'filler': 'wemo plug'}]},switch off the wemo plug
45654,2.624,slurp_real/audio-1490009094-headset.flac,{'scenario': 'iot'| 'action': 'wemo_off'| 'entities': [{'type': 'device_type'| 'filler': 'wemo plug'}]},switch off the wemo plug
45655,2.6236875,slurp_real/audio-1490009094.flac,{'scenario': 'iot'| 'action': 'wemo_off'| 'entities': [{'type': 'device_type'| 'filler': 'wemo plug'}]},switch off the wemo plug
45656,3.52,slurp_real/audio-1502300234-headset.flac,{'scenario': 'iot'| 'action': 'wemo_off'| 'entities': [{'type': 'device_type'| 'filler': 'wemo plug'}]},switch off the wemo plug
45657,3.1355625,slurp_real/audio-1502300234.flac,{'scenario': 'iot'| 'action': 'wemo_off'| 'entities': [{'type': 'device_type'| 'filler': 'wemo plug'}]},switch off the wemo plug
45658,2.17575,slurp_real/audio-1498578831.flac,{'scenario': 'weather'| 'action': 'query'| 'entities': []},check the weather of city on list starts with a
45659,3.264,slurp_real/audio-1494606792-headset.flac,{'scenario': 'weather'| 'action': 'query'| 'entities': []},check the weather of city on list starts with a
45660,3.3275625,slurp_real/audio-1494606792.flac,{'scenario': 'weather'| 'action': 'query'| 'entities': []},check the weather of city on list starts with a
45661,3.328,slurp_real/audio-1490183845-headset.flac,{'scenario': 'qa'| 'action': 'factoid'| 'entities': []},tell me what the geography is like in this region
45662,3.3275625,slurp_real/audio-1490183845.flac,{'scenario': 'qa'| 'action': 'factoid'| 'entities': []},tell me what the geography is like in this region
45663,4.736,slurp_real/audio-1502199603-headset.flac,{'scenario': 'music'| 'action': 'query'| 'entities': []},can you pull up information on the singer of this song
45664,4.735375,slurp_real/audio-1502199603.flac,{'scenario': 'music'| 'action': 'query'| 'entities': []},can you pull up information on the singer of this song
45665,4.48,slurp_real/audio-1502894857-headset.flac,{'scenario': 'music'| 'action': 'query'| 'entities': []},can you pull up information on the singer of this song
45666,3.9675,slurp_real/audio-1502894857.flac,{'scenario': 'music'| 'action': 'query'| 'entities': []},can you pull up information on the singer of this song
45667,3.968,slurp_real/audio-1499694769-headset.flac,{'scenario': 'music'| 'action': 'query'| 'entities': []},can you pull up information on the singer of this song
45668,3.9675,slurp_real/audio-1499694769.flac,{'scenario': 'music'| 'action': 'query'| 'entities': []},can you pull up information on the singer of this song
45669,1.92,slurp_real/audio-1501758731-headset.flac,{'scenario': 'alarm'| 'action': 'set'| 'entities': [{'type': 'time_zone'| 'filler': 'mountain'}]},change my alarms to mountain time
45670,1.6638125,slurp_real/audio-1501758731.flac,{'scenario': 'alarm'| 'action': 'set'| 'entities': [{'type': 'time_zone'| 'filler': 'mountain'}]},change my alarms to mountain time
45671,2.304,slurp_real/audio-1497872376-headset.flac,{'scenario': 'qa'| 'action': 'factoid'| 'entities': []},can cats eat fish
45672,2.3036875,slurp_real/audio-1497872376.flac,{'scenario': 'qa'| 'action': 'factoid'| 'entities': []},can cats eat fish
45673,3.2,slurp_real/audio-1489498168-headset.flac,{'scenario': 'play'| 'action': 'podcasts'| 'entities': [{'type': 'person'| 'filler': 'rohan sharma'}]},play rohan sharma podcast for me
45674,3.1995625,slurp_real/audio-1489498168.flac,{'scenario': 'play'| 'action': 'podcasts'| 'entities': [{'type': 'person'| 'filler': 'rohan sharma'}]},play rohan sharma podcast for me
45675,3.4555625,slurp_real/audio-1488986775.flac,{'scenario': 'play'| 'action': 'podcasts'| 'entities': [{'type': 'person'| 'filler': 'rohan sharma'}]},play rohan sharma podcast for me
45676,4.9913125,slurp_real/audio-1498578477.flac,{'scenario': 'cooking'| 'action': 'recipe'| 'entities': [{'type': 'food_type'| 'filler': 'whole chicken'}]},how long should you cook a whole chicken in a three hundred and seventy five degree oven
45677,6.08,slurp_real/audio-1490020317-headset.flac,{'scenario': 'cooking'| 'action': 'recipe'| 'entities': [{'type': 'food_type'| 'filler': 'whole chicken'}]},how long should you cook a whole chicken in a three hundred and seventy five degree oven
45678,6.1431875,slurp_real/audio-1490020317.flac,{'scenario': 'cooking'| 'action': 'recipe'| 'entities': [{'type': 'food_type'| 'filler': 'whole chicken'}]},how long should you cook a whole chicken in a three hundred and seventy five degree oven
45679,3.712,slurp_real/audio-1502200546-headset.flac,"{'scenario': 'news'| 'action': 'query'| 'entities': [{'type': 'media_type'| 'filler': ""bob's news""}]}",i just added bob's news anything new there
45680,3.071625,slurp_real/audio-1502200546.flac,"{'scenario': 'news'| 'action': 'query'| 'entities': [{'type': 'media_type'| 'filler': ""bob's news""}]}",i just added bob's news anything new there
45681,2.4316875,slurp_real/audio-1502376327.flac,"{'scenario': 'news'| 'action': 'query'| 'entities': [{'type': 'media_type'| 'filler': ""bob's news""}]}",i just added bob's news anything new there
45682,3.2,slurp_real/audio-1494548157-headset.flac,{'scenario': 'social'| 'action': 'post'| 'entities': [{'type': 'media_type'| 'filler': 'tweet'}]},ok google tweet mcdonald's down reseda has terrible service
45683,3.2635625,slurp_real/audio-1494548157.flac,{'scenario': 'social'| 'action': 'post'| 'entities': [{'type': 'media_type'| 'filler': 'tweet'}]},ok google tweet mcdonald's down reseda has terrible service
45684,4.8,slurp_real/audio-1495735224-headset.flac,{'scenario': 'social'| 'action': 'post'| 'entities': [{'type': 'media_type'| 'filler': 'tweet'}]},ok google tweet mcdonald's down reseda has terrible service
45685,4.8633125,slurp_real/audio-1495735224.flac,{'scenario': 'social'| 'action': 'post'| 'entities': [{'type': 'media_type'| 'filler': 'tweet'}]},ok google tweet mcdonald's down reseda has terrible service
45686,1.664,slurp_real/audio-1502199930-headset.flac,{'scenario': 'weather'| 'action': 'query'| 'entities': [{'type': 'place_name'| 'filler': 'atlanta'}]},weather in atlanta
45687,1.536,slurp_real/audio-1495377466-headset.flac,{'scenario': 'weather'| 'action': 'query'| 'entities': [{'type': 'place_name'| 'filler': 'atlanta'}]},weather in atlanta
45688,1.5358125,slurp_real/audio-1495377466.flac,{'scenario': 'weather'| 'action': 'query'| 'entities': [{'type': 'place_name'| 'filler': 'atlanta'}]},weather in atlanta
45689,3.136,slurp_real/audio-1502113929-headset.flac,{'scenario': 'qa'| 'action': 'currency'| 'entities': [{'type': 'currency_name'| 'filler': 'us dollar'}| {'type': 'currency_name'| 'filler': 'euro'}]},convert one us dollar to euro
45690,3.483,slurp_real/audio-1502113929.flac,{'scenario': 'qa'| 'action': 'currency'| 'entities': [{'type': 'currency_name'| 'filler': 'us dollar'}| {'type': 'currency_name'| 'filler': 'euro'}]},convert one us dollar to euro
45691,2.368,slurp_real/audio-1490957294-headset.flac,{'scenario': 'qa'| 'action': 'currency'| 'entities': [{'type': 'currency_name'| 'filler': 'us dollar'}| {'type': 'currency_name'| 'filler': 'euro'}]},convert one us dollar to euro
45692,1.4078125,slurp_real/audio-1490957294.flac,{'scenario': 'qa'| 'action': 'currency'| 'entities': [{'type': 'currency_name'| 'filler': 'us dollar'}| {'type': 'currency_name'| 'filler': 'euro'}]},convert one us dollar to euro
45693,4.16,slurp_real/audio-1434532402-headset.flac,{'scenario': 'calendar'| 'action': 'set'| 'entities': [{'type': 'event_name'| 'filler': 'work meeting'}| {'type': 'date'| 'filler': 'friday'}| {'type': 'time'| 'filler': 'two hundred pm'}]},i need to set a reminder to go to a work meeting on friday at two hundred pm
45694,4.928,slurp_real/audio-1497030480-headset.flac,{'scenario': 'calendar'| 'action': 'set'| 'entities': [{'type': 'event_name'| 'filler': 'work meeting'}| {'type': 'date'| 'filler': 'friday'}| {'type': 'time'| 'filler': 'two hundred pm'}]},i need to set a reminder to go to a work meeting on friday at two hundred pm
45695,5.43925,slurp_real/audio-1497030480.flac,{'scenario': 'calendar'| 'action': 'set'| 'entities': [{'type': 'event_name'| 'filler': 'work meeting'}| {'type': 'date'| 'filler': 'friday'}| {'type': 'time'| 'filler': 'two hundred pm'}]},i need to set a reminder to go to a work meeting on friday at two hundred pm
45696,2.816,slurp_real/audio--1505323885-headset.flac,{'scenario': 'calendar'| 'action': 'set'| 'entities': [{'type': 'event_name'| 'filler': 'birthday'}| {'type': 'date'| 'filler': 'wednesday'}]},set a birthday event for wednesday
45697,2.815625,slurp_real/audio--1505323885.flac,{'scenario': 'calendar'| 'action': 'set'| 'entities': [{'type': 'event_name'| 'filler': 'birthday'}| {'type': 'date'| 'filler': 'wednesday'}]},set a birthday event for wednesday
45698,1.856,slurp_real/audio-1494416973-headset.flac,{'scenario': 'calendar'| 'action': 'set'| 'entities': [{'type': 'event_name'| 'filler': 'birthday'}| {'type': 'date'| 'filler': 'wednesday'}]},set a birthday event for wednesday
45699,1.472,slurp_real/audio-1502200856-headset.flac,{'scenario': 'lists'| 'action': 'query'| 'entities': []},what lists are open
45700,3.648,slurp_real/audio--1505404667-headset.flac,{'scenario': 'iot'| 'action': 'hue_lightchange'| 'entities': [{'type': 'house_place'| 'filler': 'bathroom'}| {'type': 'color_type'| 'filler': 'yellow'}]},i would like the bathroom lights set to yellow
45701,3.7115,slurp_real/audio--1505404667.flac,{'scenario': 'iot'| 'action': 'hue_lightchange'| 'entities': [{'type': 'house_place'| 'filler': 'bathroom'}| {'type': 'color_type'| 'filler': 'yellow'}]},i would like the bathroom lights set to yellow
45702,1.91975,slurp_real/audio-1489153403.flac,{'scenario': 'datetime'| 'action': 'query'| 'entities': []},what is current time
45703,1.28,slurp_real/audio-1490008106-headset.flac,{'scenario': 'datetime'| 'action': 'query'| 'entities': []},what is current time
45704,1.279875,slurp_real/audio-1490008106.flac,{'scenario': 'datetime'| 'action': 'query'| 'entities': []},what is current time
45705,1.856,slurp_real/audio-1501751653-headset.flac,{'scenario': 'calendar'| 'action': 'query'| 'entities': [{'type': 'date'| 'filler': 'tomorrow'}]},tell me whats going on tomorrow
45706,1.79175,slurp_real/audio-1501751653.flac,{'scenario': 'calendar'| 'action': 'query'| 'entities': [{'type': 'date'| 'filler': 'tomorrow'}]},tell me whats going on tomorrow
45707,3.52,slurp_real/audio-1500900287-headset.flac,{'scenario': 'calendar'| 'action': 'query'| 'entities': [{'type': 'date'| 'filler': 'tomorrow'}]},tell me whats going on tomorrow
45708,3.4555625,slurp_real/audio-1500900287.flac,{'scenario': 'calendar'| 'action': 'query'| 'entities': [{'type': 'date'| 'filler': 'tomorrow'}]},tell me whats going on tomorrow
45709,2.24,slurp_real/audio-1501691342-headset.flac,{'scenario': 'calendar'| 'action': 'query'| 'entities': [{'type': 'date'| 'filler': 'tomorrow'}]},tell me whats going on tomorrow
45710,2.3036875,slurp_real/audio-1501691342.flac,{'scenario': 'calendar'| 'action': 'query'| 'entities': [{'type': 'date'| 'filler': 'tomorrow'}]},tell me whats going on tomorrow
45711,1.792,slurp_real/audio-1502308700-headset.flac,{'scenario': 'iot'| 'action': 'hue_lightup'| 'entities': []},lighten the light
45712,2.0898125,slurp_real/audio-1502308700.flac,{'scenario': 'iot'| 'action': 'hue_lightup'| 'entities': []},lighten the light
45713,1.92,slurp_real/audio-1502310219-headset.flac,{'scenario': 'iot'| 'action': 'hue_lightup'| 'entities': []},lighten the light
45714,2.229125,slurp_real/audio-1502310219.flac,{'scenario': 'iot'| 'action': 'hue_lightup'| 'entities': []},lighten the light
